objectid,filename,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.1,W.2005.1.1.jpg,The Collected Stories of Katherine Anne Porter,Katherine Anne Porter,,Harcourt Brace Jovanovich,"New York, NY",40.712776,-74.005974,1979,Fiction, Note:,Mississippi Department of Archives and History,W.2005. 1.1,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.2,W.2005.1.2.jpg,The Professor's House,Willa Cather, ,Borzoi Books-Knopf,"New York, NY",40.712776,-74.005974,1953,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.2,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.3,W.2005.1.3.jpg,My Mortal Enemy,Willa Cather, ,Vintage Books,"New York, NY",40.712776,-74.005974,1961,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.3,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.4,W.2005.1.4.jpg,The Troll Garden,Willa Cather, ,New American Library,"New York, NY",40.712776,-74.005974,1961,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.4,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.5,W.2005.1.5.jpg,The Persian Wars,Herodotus , ,Modern Library,"New York, NY",40.712776,-74.005974,1947,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.5,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.6,W.2005.1.6.jpg,The Portable Renaissance Reader,"James Bruce, Mary Martin McLaughlin", ,Viking Press,"New York, NY",40.712776,-74.005974,1953,Non-fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.6,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.7,W.2005.1.7.jpg,The Portable Coleridge,Samuel Taylor Coleridge,I.A. Richards,Viking Press,"New York, NY",40.712776,-74.005974,1950,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.7,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.8,W.2005.1.8.jpg,A Christmas Story,Katherine Anne Porter, ,Delacorte Press,"New York, NY",40.712776,-74.005974,1967,Fiction," ""Eudora, you are for me a presence in this life we live in at the same time - a world of awesome strangeness much like a light that throws a far steady beam to my heart.  Bless you, Love Always, Katherine Anne Winter Solstice, 1973 Note: ",Mississippi Department of Archives and History,W.2005.1.8,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.9,W.2005.1.9.jpg,Il Procuratore,Eugenio Vaquer, ,Bompiani,"Milano, Italy",45.463619,9.18812,1950,,"a Eudora Welty, con ammirata amicisia, Eugenio Vaquer Jackson, March 24, 1953. Note: A small, pink piece of paper found on page 63.  It reads ""Settant Vole di Eugenio Vaquer, Casini Edetore Roma"" and photo of author; on back description summary of book; on page 129 were found 2 small ads.",Mississippi Department of Archives and History,W.2005.1.9,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.10,W.2005.1.10.jpg,The Portable Melville: Two Novels,Herman Melville,Jay Leida,Viking Press,"New York, NY",40.712776,-74.005974,1970,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.10,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
