objectid,archiveid,filename,filename_real,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll032,W.2005.1.32,test.jpg,W.2005.1.32.jpg,The Eye of Story: Selected Essays and Reviews,Eudora Welty, ,Random House,"New York, NY ",40.712776,-74.005974,1978,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.32,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll033,W.2005.1.33,test.jpg,W.2005.1.33.jpg,The Golden Apples,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1949,Fiction," Note: Christmas card located inside back cover. Front has ""Season's Greetings"" ""Penny Fitzgerald"". Inside has an excerpt from a letter from Robert Fitzgerald to William Maxwell.  ",Mississippi Department of Archives and History,W.2005.1.33,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll034,W.2005.1.34,test.jpg,W.2005.1.34.jpg,The Folded Leaf,William Maxwell, ,Harper & Brothers,"New York, NY",40.712776,-74.005974,1945,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.34,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll035,W.2005.1.35,test.jpg,W.2005.1.35.jpg,They Came Like Swallows,William Maxwell, ,Vintage Books,"New York, NY",40.712776,-74.005974,1960,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.35,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll036,W.2005.1.36,test.jpg,W.2005.1.36.jpg,The Robber Bridegroom,Eudora Welty, ,"Doubleday, Doran & Co.,Inc.,","Garden City, New York",40.728657,-73.631744,1948,Fiction, Note: Back of book contains advertisement to buy war bonds,Mississippi Department of Archives and History,W.2005.1.36,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll037,W.2005.1.37,test.jpg,W.2005.1.37.jpg,The Wide Net and Other Stories,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1943,Fiction," Note: Page 57 crossed out. p. 64 ""lighted ox"" marked through and ""skimmed"" added with line at bottom of page under slight pencil.",Mississippi Department of Archives and History,W.2005.1.37,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll038,W.2005.1.38,test.jpg,W.2005.1.38.jpg,Delta Wedding,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1946,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.38,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll039,W.2005.1.39,test.jpg,W.2005.1.39.jpg,A Curtain of Green,Eudora Welty, ,"Doubleday, Doran & Co.,Inc.,","Garden City, New York",40.728119,-73.635078,1941,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.39,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll040,W.2005.1.40,test.jpg,W.2005.1.40.jpg,Private Contentment: A Play,Reynolds Price, ,Atheneum,"New York, NY",40.712776,-74.005974,1984,Fiction," ""for Eudora with/ all but thirty years of happy/ memories as with the/ best love/ from/ illegible signature. Note: ",Mississippi Department of Archives and History,W.2005.1.40,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll041,W.2005.1.41,test.jpg,W.2005.1.41.jpg,Uncle Valentine and Other Stories,"Willa Cather, Bernice Slote", ,University of Nebraska Press,"Lincoln, NE",40.8088861,-96.7077751,1975,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.41,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll042,W.2005.1.42,test.jpg,W.2005.1.42.jpg,A Curtain of Green and Other Stories,Eudora Welty, ,"Harcourt, Brace, and Jovanovich","New York, NY",40.712776,-74.005974,1979,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.42,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll043,W.2005.1.43,test.jpg,W.2005.1.43.jpg,The Collected Essays and Occasional Writings of Katherine Anne Porter,Katherine Anne Porter,,Delacorte Press,"New York, NY",40.712776,-74.005974,1970,Anthology,"""For Eudora my changeless dearly loved friend from all these changing  years, whose genius and human tenderness blown fresh as spring in all seasons.  Katherine Anne Porter 6 July, 1970.  The heart  has its reason which reason does not know. Note: ",Mississippi Department of Archives and History,W.2005.1.43,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll044,W.2005.1.44,test.jpg,W.2005.1.44.jpg,The Widows of Thornton,Peter Taylor, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1954,Fiction,"

On first page in cursive, ""Eudora Welty.""  Eudora Welty's signature is on last page, upside down. Note: ",Mississippi Department of Archives and History,W.2005.1.44,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
